t,x,y,theta,v,a_cmd,delta_cmd
1.150000000000000000e+01,1.166321182250976562e+02,6.549513244628906250e+01,2.212206274271011353e-02,7.533559322357177734e+00,-6.508304675469800404e-01,-1.761370714850233610e-01
1.160000000000000142e+01,1.173860626220703125e+02,6.551390838623046875e+01,2.489753253757953644e-02,7.541762351989746094e+00,9.296756559027991029e-01,-4.999999999999312217e-01
1.170000000000000107e+01,1.181419982910156250e+02,6.552911376953125000e+01,2.011638879776000977e-02,7.560858249664306641e+00,-5.897732383482656715e-02,2.023923409998487077e-01
1.180000000000000071e+01,1.188986816406250000e+02,6.554644775390625000e+01,2.290178835391998291e-02,7.568845748901367188e+00,-1.438722294419191750e+00,-4.999999988646863791e-01
1.190000000000000036e+01,1.196525955200195312e+02,6.556011962890625000e+01,1.813356205821037292e-02,7.540380477905273438e+00,-2.028986341727400333e+00,-5.000000000000000000e-01
1.200000000000000000e+01,1.203996887207031250e+02,6.556452941894531250e+01,5.901228636503219604e-03,7.471087455749511719e+00,-1.929830337181783761e+00,5.000000000000000000e-01
1.210000000000000142e+01,1.211368179321289062e+02,6.556544494628906250e+01,1.239926670677959919e-03,7.371301174163818359e+00,1.342316158377434787e+00,-4.909554318831675923e-01
1.220000000000000107e+01,1.218680496215820312e+02,6.555759429931640625e+01,-1.073295250535011292e-02,7.312740802764892578e+00,1.499999855211003208e+00,-2.983821719992987842e-01
1.230000000000000071e+01,1.225967407226562500e+02,6.553566741943359375e+01,-3.008252754807472229e-02,7.290229797363281250e+00,-3.044690502183905245e+00,1.250327039233107285e-01
1.240000000000000036e+01,1.233166656494140625e+02,6.550550079345703125e+01,-4.188043251633644104e-02,7.205566883087158203e+00,1.427694835439009324e+00,4.199486069450663606e-01
1.250000000000000000e+01,1.240319824218750000e+02,6.547228240966796875e+01,-4.640848189592361450e-02,7.160896778106689453e+00,2.173945110053769891e-01,-2.861356724172039456e-01
1.260000000000000142e+01,1.247431716918945312e+02,6.543093872070312500e+01,-5.807239562273025513e-02,7.123922824859619141e+00,1.500000000000000000e+00,-5.000000000000000000e-01
1.270000000000000107e+01,1.254529418945312500e+02,6.537620544433593750e+01,-7.696658372879028320e-02,7.118762969970703125e+00,1.399835527366917631e+00,2.247196794496316707e-01
1.280000000000000071e+01,1.261638336181640625e+02,6.531301879882812500e+01,-8.865195512771606445e-02,7.136953353881835938e+00,1.500000000000000000e+00,5.000000000000000000e-01
1.290000000000000036e+01,1.268782958984375000e+02,6.524624633789062500e+01,-9.318953752517700195e-02,7.175737857818603516e+00,1.499999999610235557e+00,4.999999999012399998e-01
1.300000000000000000e+01,1.275984268188476562e+02,6.518087768554687500e+01,-9.052831679582595825e-02,7.230900764465332031e+00,1.500000000000000000e+00,7.866247304365719950e-02
1.310000000000000142e+01,1.283259429931640625e+02,6.512186431884765625e+01,-8.093959838151931763e-02,7.299069881439208984e+00,1.050520352821260994e+00,-5.000000000000000000e-01
1.320000000000000107e+01,1.290605163574218750e+02,6.506397247314453125e+01,-7.864696532487869263e-02,7.368557929992675781e+00,9.729985622986295768e-01,5.000000000000000000e-01
1.330000000000000071e+01,1.298025054931640625e+02,6.501278686523437500e+01,-6.887608766555786133e-02,7.437491416931152344e+00,-4.224490525357000870e-01,-6.702542421681151330e-02
